STT,Nhóm luật,Câu hỏi,Câu trả lời RAG,Trang PDF trích dẫn,Top_5_K,Điểm Top Chunk,Thời gian (ms),Ý định (Intent),Điểm mấu chốt đối chiếu
11,Luật 12 - Thẻ phạt DOGSO,"Trong vòng cấm địa, hậu vệ phạm lỗi ngăn cản cơ hội ghi bàn rõ rệt của đối phương nhưng có nỗ lực tranh cướp bóng hợp lệ thì bị phạt thẻ vàng hay thẻ đỏ?","Dựa vào đoạn văn bản [5] trong ngữ cảnh được cung cấp, nếu một hậu vệ phạm lỗi với đối phương trong vòng cấm địa để ngăn cản một cơ hội ghi bàn rõ rệt, nhưng đó là một nỗ lực tranh cướp bóng hợp lệ (attempt to play the ball), thì hậu vệ đó sẽ bị **phạt thẻ vàng (được cảnh cáo)**. (Tham khảo tại trang 55, 89–90, 56–57 của PDF Law_fifa.pdf.)","trang 55, 89–90, 56–57 của PDF Law_fifa.pdf","[1] Trang 55 (score 0.6): ""ping a promising attack, the player is not cautioned. Laws of the Game..."" | [2] Trang 89–90 (score 0.5941): ""r any part of their body which is touching the ground, except as outli..."" | [3] Trang 55 (score 0.5781): ""non-offending team takes a quick free kick, has a clear goal-scoring o..."" | [4] Trang 55 (score 0.1018): ""start of the match, a player or team official commits a sending-off of..."" | [5] Trang 56–57 (score 0.0925): ""ponent whose overall movement is towards the offender’s goal by an off...""",0.6,11097.7,DOCUMENT_QUERY,"Hậu vệ bị phạt THẺ VÀNG (luật tránh hình phạt kép) nếu có nỗ lực chơi bóng hoặc tranh chấp bóng hợp lệ; chỉ bị THẺ ĐỎ nếu kéo, đẩy, không có cơ hội chơi bóng hoặc dùng tay."
12,Luật 12 - Thẻ vàng cởi áo ăn mừng,"Cầu thủ cởi áo ăn mừng bàn thắng bị phạt thẻ vàng, nhưng sau đó VAR can thiệp hủy bàn thắng thì thẻ vàng đó có bị xóa không?","Câu trả lời: **Không, thẻ vàng vẫn giữ nguyên.** Theo thông tin tại đoạn [3] của ngữ cảnh, một cầu thủ phải bị phạt thẻ vàng khi cởi áo hoặc che đầu bằng áo trong lúc ăn mừng bàn thắng, ngay cả khi bàn thắng đó sau đó bị hủy bỏ. (Tham khảo tại trang 72–73, 55, 56, 72 của PDF Law_fifa.pdf.)","trang 72–73, 55, 56, 72 của PDF Law_fifa.pdf","[1] Trang 72–73 (score 0.659): ""ive, insulting or abusive gestures d. Mistaken identity (red or yellow..."" | [2] Trang 55 (score 0.589): ""ping a promising attack, the player is not cautioned. Laws of the Game..."" | [3] Trang 56 (score 0.5775): ""rbally distracts an opponent during play or at a restart Celebration o..."" | [4] Trang 55 (score 0.564): ""start of the match, a player or team official commits a sending-off of..."" | [5] Trang 72 (score 0.5607): ""r to the goal • goal/no goal decisions • offence by goalkeeper and/or...""",0.659,7124.7,DOCUMENT_QUERY,Thẻ vàng VẪN ĐƯỢC GIỮ NGUYÊN. Hành vi cởi áo hoặc trèo rào ăn mừng là lỗi phi thể thao độc lập với việc bàn thắng có hợp lệ hay không.
13,Luật 3 & 12 - Cầu thủ dự bị vào sân,Cầu thủ dự bị chưa được phép của trọng tài đã tự ý chạy vào sân phá bóng cứu thua ngay trên vạch vôi thì trọng tài xử lý thế nào?,"Dựa trên các đoạn văn bản được cung cấp (đặc biệt là đoạn [1] và [5]), trường hợp cầu thủ dự bị chạy vào sân và can thiệp vào trận đấu (phá bóng cứu thua), trọng tài phải xử lý như sau: 1. **Dừng trận đấu:** Trọng tài phải dừng trận đấu vì có sự can thiệp vào cuộc chơi [1]. 2. **Loại bỏ người đó:** Trọng tài phải yêu cầu cầu thủ dự bị này rời khỏi sân [1]. 3. **Hình thức kỷ luật:** Trọng tài thực hiện các biện pháp kỷ luật thích hợp [1]. 4. **Cách thức bắt đầu lại trận đấu:** Vì sự can thiệp đến từ cầu thủ dự bị, trận đấu sẽ được bắt đầu lại bằng một **quả phạt trực tiếp** hoặc **quả phạt đền** tại vị trí xảy ra sự can thiệp [1, 5]. **Lưu ý:** Theo quy định tại đoạn [1] và [5], nếu cầu thủ dự bị can thiệp vào trái bóng đang đi vào khung thành, hành động này được xem là can thiệp trái phép. Nếu sự can thiệp đó thuộc về đội tấn công, bàn thắng sẽ không được công nhận. Trong trường hợp cụ thể này, vì cầu thủ dự bị vào sân trái phép để phá bóng, trọng tài sẽ xử lý bằng quả phạt trực tiếp hoặc phạt đền như đã nêu ở trên. (Tham khảo tại trang 27, 27–28, 38–39, 26–27 của PDF Law_fifa.pdf.)","trang 27, 27–28, 38–39, 26–27 của PDF Law_fifa.pdf","[1] Trang 27 (score 0.6002): ""te, who cannot be replaced; the number of substitutions the team can m..."" | [2] Trang 27–28 (score 0.5485): ""must be restarted: • with a direct free kick from the position of the..."" | [3] Trang 38–39 (score 0.4982): ""e to start or continue, the fourth official or the senior assistant re..."" | [4] Trang 26–27 (score 0.4498): ""e is made • the change is made during a stoppage in play 5. Offences a..."" | [5] Trang 27 (score 0.4026): ""ute, substituted or sent-off player, play restarts with a direct free...""",0.6002,16740.4,DOCUMENT_QUERY,Trọng tài phạt THẺ ĐỎ truất quyền thi đấu của cầu thủ dự bị và cho đội đối phương hưởng QUẢ PHẠT ĐỀN (Penalty kick).
14,Luật 12 - Hành vi bạo lực,"Hành vi nhổ nước bọt hoặc cắn đối thủ, đồng đội hoặc trọng tài bị xử lý thẻ gì và đội đối phương được hưởng quả phạt nào?","Dựa trên các đoạn văn bản được cung cấp, hành vi nhổ nước bọt hoặc cắn người khác (bao gồm đối thủ, đồng đội hoặc trọng tài) được xử lý như sau: * **Về thẻ phạt:** Hành vi nhổ nước bọt hoặc cắn người bị coi là hành vi đáng bị **truất quyền thi đấu (rút thẻ đỏ)** [2], [3], [5]. * **Về hình thức phạt:** * Nếu hành vi diễn ra bên trong sân khi bóng đang trong cuộc: * Đối với đối thủ: Bị phạt một quả đá phạt trực tiếp hoặc phạt đền [4]. * Đối với đồng đội hoặc trọng tài: Bị phạt một quả đá phạt trực tiếp hoặc phạt đền [4]. * Nếu hành vi diễn ra bên ngoài sân khi bóng đang trong cuộc: Trận đấu được bắt đầu lại bằng một quả đá phạt trên đường biên gần nơi xảy ra vi phạm nhất; nếu đó là lỗi phạt trực tiếp và xảy ra trong khu phạt đền của người phạm lỗi, một quả phạt đền sẽ được áp dụng [4]. (Tham khảo tại trang 52–53, 56–57, 58, 56 của PDF Law_fifa.pdf.)","trang 52–53, 56–57, 58, 56 của PDF Law_fifa.pdf","[1] Trang 52–53 (score 0.6): ""r, an opponent and must be cautioned • Using excessive force is when a..."" | [2] Trang 56–57 (score 0.5483): ""ponent whose overall movement is towards the offender’s goal by an off..."" | [3] Trang 58 (score 0.4981): ""Sending-off Sending-off offences include (but are not limited to): • d..."" | [4] Trang 58 (score 0.4494): ""sion. If the ball is in play and a player commits a physical offence i..."" | [5] Trang 56 (score 0.4024): ""the shirt Delaying the restart of play Referees must caution players w...""",0.6,9115.4,DOCUMENT_QUERY,Phạt THẺ ĐỎ trực tiếp (sending-off). Đội đối phương được hưởng QUẢ PHẠT TRỰC TIẾP (Direct free kick) hoặc phạt đền nếu xảy ra trong vòng cấm.
15,Luật 12 - Quan chức đội bóng vi phạm,Nếu một thành viên ban huấn luyện trong khu vực kỹ thuật có hành vi ném chai nước phản đối thì trọng tài xử lý ra sao nếu không xác định được danh tính người ném?,"Dựa vào đoạn văn bản [1], nếu một hành vi vi phạm xảy ra mà không thể xác định được danh tính người thực hiện, thì huấn luyện viên trưởng của đội bóng đang có mặt tại khu vực kỹ thuật sẽ là người nhận hình thức kỷ luật. Đối với hành vi ném chai nước (thể hiện sự phản đối), theo văn bản [2], đây được liệt kê là một lỗi phải nhận thẻ vàng (Caution). Do đó, trong trường hợp này, huấn luyện viên trưởng sẽ phải chịu hình thức kỷ luật thẻ vàng thay cho người vi phạm không xác định được danh tính. (Tham khảo tại trang 57, 57–58, 58, 90–91 của PDF Law_fifa.pdf.)","trang 57, 57–58, 58, 90–91 của PDF Law_fifa.pdf","[1] Trang 57 (score 0.6): ""ent or any other person on the head or face with the hand or arm, is g..."" | [2] Trang 57–58 (score 0.5483): ""ution Caution offences include (but are not limited to): • clearly/per..."" | [3] Trang 58 (score 0.4981): ""Sending-off Sending-off offences include (but are not limited to): • d..."" | [4] Trang 58 (score 0.4495): ""ayer, substitute, team official, match official, spectator or any othe..."" | [5] Trang 90–91 (score 0.4024): ""and team officials Team official Any non-player listed on the official...""",0.6,7806.8,DOCUMENT_QUERY,"Nếu không xác định được danh tính cụ thể người vi phạm, Huấn luyện viên trưởng (senior coach/head coach) trong khu vực kỹ thuật sẽ phải nhận thẻ phạt thay."
16,Luật 15 - Quy cách ném biên,Một quả ném biên hợp lệ đòi hỏi cầu thủ ném biên phải thực hiện đúng những động tác cơ bản nào?,"Dựa trên các đoạn văn bản được cung cấp, tại thời điểm thực hiện quả ném biên, cầu thủ ném biên phải thực hiện đúng các động tác cơ bản sau: * Đứng quay mặt về phía sân thi đấu. * Đặt một phần của mỗi bàn chân trên đường biên dọc hoặc trên mặt đất bên ngoài đường biên dọc. * Ném bóng bằng cả hai tay từ phía sau và qua đầu từ điểm bóng rời khỏi sân. (Tham khảo tại trang 65–66, 64–65, 65–67, 66–67, 69–70 của PDF Law_fifa.pdf.)","trang 65–66, 64–65, 65–67, 66–67, 69–70 của PDF Law_fifa.pdf","[1] Trang 65–66 (score 0.6): ""kick is awarded 1. Procedure At the moment of delivering the ball, the..."" | [2] Trang 64–65 (score 0.5758): ""rther offence(s) Goalkeeper and kicker offend at the same time Indirec..."" | [3] Trang 65–67 (score 0.5758): ""a careless or a reckless manner or using excessive force, the referee..."" | [4] Trang 66–67 (score 0.5306): ""d for unsporting behaviour, and if the throw-in has been taken, an ind..."" | [5] Trang 69–70 (score 0.0707): ""assed over the goal line • The ball must be stationary and is kicked b...""",0.6,7057.2,DOCUMENT_QUERY,Quay mặt vào sân thi đấu; một phần mỗi bàn chân chạm đường biên hoặc mặt đất bên ngoài đường biên; ném bóng bằng cả hai tay từ phía sau và qua đầu từ vị trí bóng rời sân.
17,Luật 16 - Quy định phát bóng,"Khi thực hiện quả phát bóng (goal kick), quả bóng có bắt buộc phải bay ra khỏi vòng cấm địa mới được coi là trong cuộc không?","Câu trả lời: Không, quả bóng không bắt buộc phải bay ra khỏi vòng cấm địa mới được coi là trong cuộc. Theo tài liệu cung cấp (đoạn [3]), quả bóng được coi là trong cuộc ngay khi nó được đá và di chuyển rõ ràng. (Tham khảo tại trang 67–68, 67–69, 66–67, 64–65, 44 của PDF Law_fifa.pdf.)","trang 67–68, 67–69, 66–67, 64–65, 44 của PDF Law_fifa.pdf","[1] Trang 67–68 (score 0.6088): ""de the penalty area until the ball is in play 2. Of fences and sanctio..."" | [2] Trang 67–69 (score 0.6067): ""ck is retaken. Law 16 The Goal Kick 135134 If a player enters the pena..."" | [3] Trang 66–67 (score 0.6041): ""d for unsporting behaviour, and if the throw-in has been taken, an ind..."" | [4] Trang 64–65 (score 0.5063): ""rther offence(s) Goalkeeper and kicker offend at the same time Indirec..."" | [5] Trang 44 (score 0.4737): ""after a goal has been scored. Free kicks (direct or indirect), penalty...""",0.6088,8076.2,DOCUMENT_QUERY,"KHÔNG bắt buộc. Theo luật cập nhật, bóng ở trong cuộc ngay khi được đá và di chuyển rõ ràng (đồng đội có thể nhận bóng ngay trong vòng cấm)."
18,Luật 15 - Ném biên vào lưới,"Nếu một cầu thủ ném biên thẳng vào lưới của đội đối phương mà không chạm bất kỳ ai thì bàn thắng có được công nhận không, xử lý tiếp tục thế nào?","Câu trả lời: Bàn thắng sẽ **không được công nhận**. Theo quy định (ngữ cảnh [2]), một bàn thắng không thể được ghi trực tiếp từ quả ném biên. Nếu bóng đi thẳng vào lưới của đội đối phương, trọng tài sẽ cho thực hiện một quả **phát bóng (goal kick)**. (Tham khảo tại trang 65–66, 64–65, 65–67, 66–67, 102 của PDF Law_fifa.pdf.)","trang 65–66, 64–65, 65–67, 66–67, 102 của PDF Law_fifa.pdf","[1] Trang 65–66 (score 0.6): ""kick is awarded 1. Procedure At the moment of delivering the ball, the..."" | [2] Trang 64–65 (score 0.592): ""rther offence(s) Goalkeeper and kicker offend at the same time Indirec..."" | [3] Trang 65–67 (score 0.5838): ""a careless or a reckless manner or using excessive force, the referee..."" | [4] Trang 66–67 (score 0.5455): ""d for unsporting behaviour, and if the throw-in has been taken, an ind..."" | [5] Trang 102 (score 0.0717): ""toppage. Throw-in When the ball wholly passes over the touchline: • ne...""",0.6,9451.7,DOCUMENT_QUERY,Bàn thắng KHÔNG được công nhận (không thể ghi bàn trực tiếp từ quả ném biên). Trận đấu tiếp tục bằng quả phát bóng lên (goal kick) cho đội đối phương.
19,Luật 10 - Cân bằng quân số sút luân lưu,"Trước khi bước vào loạt sút luân lưu phân định thắng thua, nếu Đội A có 10 người (do thẻ đỏ) còn Đội B có đủ 11 người thì Đội B có phải giảm bớt một người không?","Câu trả lời: Có. Theo đoạn văn bản [4] và [5], nếu trước khi bắt đầu hoặc trong loạt sút luân lưu mà một đội có số lượng cầu thủ nhiều hơn đội đối phương, đội đó phải giảm số lượng cầu thủ xuống bằng với số lượng cầu thủ của đội đối phương. Trọng tài phải được thông báo tên và số áo của những cầu thủ bị loại trừ, và những cầu thủ này không được phép tham gia loạt sút (trừ trường hợp thay thế thủ môn bị chấn thương). (Tham khảo tại trang 34, 49–50, 55, 48 của PDF Law_fifa.pdf.)","trang 34, 49–50, 55, 48 của PDF Law_fifa.pdf","[1] Trang 34 (score 0.6001): ""e and sending-off offences • has the authority to take disciplinary ac..."" | [2] Trang 49–50 (score 0.0967): "" five  kicks,  no  more  kicks  are  taken • If, after both tea..."" | [3] Trang 55 (score 0.0967): ""start of the match, a player or team official commits a sending-off of..."" | [4] Trang 48 (score 0.0873): ""d before or during the kicks one team has a greater number of players..."" | [5] Trang 48 (score 0.0781): ""nless there are other considerations (e.g. ground conditions, safety e...""",0.6001,9215.9,DOCUMENT_QUERY,CÓ. Đội có nhiều cầu thủ hơn phải giảm số lượng cầu thủ bằng với đội bị thiếu người (luật cân bằng quân số) và thông báo cho trọng tài tên/số áo cầu thủ bị loại trừ.
20,Giao thức VAR,Trợ lý trọng tài video (VAR) chỉ được phép can thiệp vào 4 nhóm tình huống cụ thể nào trong trận đấu?,"Dựa trên các đoạn văn bản được cung cấp, trợ lý trọng tài video (VAR) chỉ được phép hỗ trợ trọng tài chính trong trường hợp có ""lỗi rõ ràng và hiển nhiên"" hoặc ""sự cố nghiêm trọng bị bỏ lỡ"" liên quan đến 4 nhóm tình huống cụ thể sau: 1. **Bàn thắng/không bàn thắng (Goal/no goal).** 2. **Phạt đền/không phạt đền (Penalty/no penalty).** 3. **Thẻ đỏ trực tiếp (Direct red card)** (không bao gồm thẻ vàng thứ hai/thẻ cảnh cáo thứ hai). 4. **Nhầm lẫn danh tính (Mistaken identity)** (khi trọng tài cảnh cáo hoặc truất quyền thi đấu sai cầu thủ của đội phạm lỗi). (Tham khảo tại trang 35, 71–72, 39, 38, 72–73 của PDF Law_fifa.pdf.)","trang 35, 71–72, 39, 38, 72–73 của PDF Law_fifa.pdf","[1] Trang 35 (score 0.6071): ""s made with the ball) unless the interference was by the attacking tea..."" | [2] Trang 71–72 (score 0.5543): ""tch official, with independent access to match footage, who may assist..."" | [3] Trang 39 (score 0.5455): ""the ball is kicked and if the ball crosses the line 4. R eserve assist..."" | [4] Trang 38 (score 0.4996): ""ant referee, video assistant referee (VAR) and at least one assistant..."" | [5] Trang 72–73 (score 0.4965): ""ive, insulting or abusive gestures d. Mistaken identity (red or yellow...""",0.6071,6624.1,DOCUMENT_QUERY,Bao gồm 4 tình huống: (1) Bàn thắng/không bàn thắng; (2) Phạt đền/không phạt đền; (3) Thẻ đỏ trực tiếp (không áp dụng thẻ vàng thứ 2); (4) Nhận diện nhầm cầu thủ bị phạt thẻ.
